iter	Passed	Remaining
0	225	5631070
1	365	4564296
2	421	3510143
3	564	3530313
4	626	3132224
5	783	3265611
6	894	3193371
7	1061	3314891
8	1208	3355502
9	1362	3405258
10	1519	3451736
11	1665	3467702
12	1829	3515875
13	1938	3459076
14	2088	3479178
15	2258	3527191
16	2411	3543384
17	2563	3558033
18	2716	3571645
19	2885	3603427
20	3039	3615380
21	3199	3632738
22	3382	3673195
23	3557	3702255
24	3717	3713603
25	3875	3722926
26	4049	3745696
27	4106	3662347
28	4253	3662526
29	4438	3694047
30	4594	3700920
31	4766	3718993
32	4957	3750585
33	5120	3759859
34	5290	3773355
35	5456	3783609
36	5641	3806262
37	5798	3809122
38	5959	3814407
39	6116	3816656
40	6267	3815669
41	6440	3827407
42	6620	3842786
43	6788	3850492
44	6966	3863249
45	7138	3872233
46	7304	3878305
47	7475	3886113
48	7653	3896961
49	7828	3906625
50	7989	3908376
51	8163	3916489
52	8327	3919909
53	8483	3919239
54	8627	3913141
55	8781	3911640
56	8952	3917599
57	9112	3918773
58	9272	3919955
59	9434	3921540
60	9598	3924307
61	9752	3922710
62	9915	3924752
63	10067	3922500
64	10207	3915597
65	10366	3916154
66	10541	3922839
67	10713	3927976
68	10880	3931293
69	11042	3932614
70	11210	3936110
71	11375	3938437
72	11549	3943827
73	11725	3949688
74	11877	3947345
75	11894	3900665
76	12052	3901061
77	12209	3901142
78	12366	3901092
79	12539	3906145
80	12709	3909968
81	12869	3910908
82	13023	3909596
83	13186	3911386
84	13371	3919535
85	13547	3924610
86	13713	3927070
87	13873	3927456
88	14048	3932260
89	14206	3931967
90	14368	3933041
91	14545	3938077
92	14699	3936823
93	14881	3943069
94	15026	3939344
95	15198	3942735
96	15368	3945537
97	15545	3950093
98	15714	3952613
99	15903	3960035
100	16075	3963098
101	16235	3963097
102	16400	3964287
103	16424	3931826
104	16574	3929647
105	16740	3931398
106	16915	3935351
107	17093	3939766
108	17253	3939907
109	17405	3938395
110	17592	3944716
111	17764	3947513
112	17921	3946903
113	18106	3952669
114	18288	3957429
115	18456	3959157
116	18643	3964963
117	18816	3967818
118	18970	3966366
119	19155	3971625
120	19320	3972530
121	19506	3977812
122	19656	3975517
123	19817	3975653
124	19980	3976200
125	20136	3975222
126	20299	3975589
127	20457	3975138
128	20622	3976022
129	20778	3975122
130	20928	3973031
131	21093	3973967
132	21276	3978026
133	21439	3978496
134	21613	3980833
135	21770	3980116
136	21951	3983724
137	22115	3984337
138	22274	3983867
139	22462	3988776
140	22643	3992214
141	22808	3992802
142	22969	3992607
143	23115	3989991
144	23282	3990992
145	23459	3993551
146	23617	3992902
147	23769	3991353
148	23937	3992400
149	24092	3991247
150	24280	3995726
151	24435	3994619
152	24608	3996409
153	24777	3997542
154	24942	3998029
155	25090	3995781
156	25249	3995336
157	25415	3996070
158	25572	3995318
159	25742	3996463
160	25904	3996608
161	26081	3998908
162	26252	4000142
163	26421	4001286
164	26592	4002573
165	26753	4002437
166	26906	4001078
167	27084	4003358
168	27245	4003109
169	27407	4003138
170	27573	4003635
171	27744	4004945
172	27915	4006118
173	28070	4005049
174	28227	4004255
175	28383	4003401
176	28541	4002812
177	28719	4004858
178	28893	4006524
179	29054	4006340
180	29236	4009011
181	29401	4009225
182	29566	4009563
183	29740	4011117
184	29909	4011910
185	30083	4013361
186	30256	4014776
187	30427	4015777
188	30594	4016301
189	30759	4016591
190	30932	4017802
191	31100	4018432
192	31257	4017628
193	31427	4018503
194	31587	4018036
195	31778	4021642
196	31938	4021138
197	32084	4018934
198	32260	4020613
199	32411	4018978
200	32577	4019403
201	32732	4018311
202	32889	4017592
203	33062	4018658
204	33246	4021195
205	33404	4020584
206	33567	4020497
207	33742	4021859
208	33926	4024269
209	34118	4027578
210	34292	4028819
211	34466	4029978
212	34646	4031817
213	34812	4032088
214	34995	4034270
215	35175	4036039
216	35359	4038272
217	35537	4039912
218	35711	4040907
219	35882	4041665
220	36068	4044067
221	36230	4043820
222	36386	4042857
223	36561	4043987
224	36753	4047004
225	36924	4047637
226	37110	4050001
227	37294	4051971
228	37471	4053306
229	37655	4055337
230	37832	4056611
231	38004	4057260
232	38180	4058400
233	38355	4059403
234	38536	4061113
235	38717	4062677
236	38886	4063028
237	39068	4064743
238	39246	4066024
239	39402	4065052
240	39582	4066446
241	39757	4067396
242	39923	4067445
243	40119	4070489
244	40305	4072472
245	40479	4073325
246	40674	4076141
247	40853	4077459
248	41022	4077694
249	41197	4078520
250	41366	4078824
251	41537	4079241
252	41717	4080603
253	41918	4083917
254	42126	4087917
255	42297	4088270
256	42472	4089052
257	42668	4091834
258	42836	4091923
259	43007	4092312
260	43165	4091432
261	43349	4093064
262	43530	4094374
263	43683	4092974
264	43859	4093836
265	44041	4095198
266	44210	4095319
267	44399	4097339
268	44628	4103011
269	44808	4104136
270	44974	4103967
271	45138	4103619
272	45322	4105107
273	45506	4106588
274	45671	4106247
275	45838	4106176
276	46020	4107410
277	46208	4109243
278	46399	4111225
279	46575	4111939
280	46730	4110773
281	46909	4111735
282	47103	4114015
283	47260	4113036
284	47440	4114022
285	47607	4113929
286	47790	4115147
287	47960	4115254
288	48159	4117915
289	48349	4119743
