,Start,End,Duration
0,1539175.692,1539745.391,569.6990000000224
1,1541672.782,1542251.285,578.5030000000261
2,1496047.666,1497495.862,1448.1959999999963
3,1496668.594,1536829.056,40160.46200000006
4,1499769.748,1544629.497,44859.74900000007
5,1499771.133,1544629.471,44858.33799999999
6,1499855.605,1537239.796,37384.19100000011
7,1499936.54,1537326.206,37389.66599999997
8,1500023.454,1536980.657,36957.20299999998
9,1500381.574,1537412.616,37031.0419999999
10,1500462.802,1538067.046,37604.24400000018
11,1509726.043,1542164.59,32438.54700000002
12,1500548.061,1539247.702,38699.64100000006
13,1500555.433,1538124.353,37568.919999999925
14,1500976.889,1549987.365,49010.476000000024
15,1500988.755,1547654.288,46665.533000000054
16,1504179.219,1541763.064,37583.84499999997
17,1501669.113,1538017.43,36348.31700000004
18,1501844.709,1540492.61,38647.90100000007
19,1501860.495,1547804.959,45944.46399999992
20,1502111.031,1538734.597,36623.56600000011
21,1502185.639,1539942.635,37756.99600000004
22,1502206.8,1540350.189,38143.38899999997
23,1502291.467,1526353.396,24061.929000000004
24,1539683.603,1540004.621,321.01800000015646
25,1503586.991,1537326.212,33739.221000000136
26,1539270.128,1539658.982,388.8540000000503
27,1503997.8,1540350.195,36352.39500000002
28,1504097.132,1539678.572,35581.439999999944
29,1504544.895,1537585.437,33040.5419999999
30,1538137.671,1538449.405,311.73399999993853
31,1534769.642,1536807.849,2038.2069999999367
32,1504692.728,1536749.254,32056.52600000007
33,1545390.727,1545706.984,316.25699999998324
34,1539788.025,1540263.779,475.75400000019
35,1504888.343,1537239.801,32351.457999999868
36,1505293.427,1539745.396,34451.96900000004
37,1505129.762,1540004.626,34874.86399999983
38,1505138.664,1538734.845,33596.180999999866
39,1505220.635,1548730.981,43510.3459999999
40,1505227.025,1536591.212,31364.18700000015
41,1505314.596,1536807.856,31493.26000000001
42,1537955.959,1540004.63,2048.6709999998566
43,1505382.36,1536591.294,31208.933999999892
44,1505753.182,1541414.429,35661.246999999974
45,1505817.962,1543399.01,37581.04799999995
46,1528289.015,1538584.726,10295.711000000127
47,1506332.125,1540004.634,33672.50900000008
48,1538476.038,1539831.802,1355.7639999999665
49,1506424.23,1540195.695,33771.465000000084
50,1506439.623,1539686.597,33246.97400000016
51,1506507.64,1536752.988,30245.347999999998
52,1506536.06,1536591.579,30055.518999999855
53,1506591.137,1536591.645,30000.507999999914
54,1506597.765,1537239.805,30642.040000000037
55,1540470.496,1542251.291,1780.7949999999255
56,1514907.913,1540284.422,25376.50900000008
57,1514910.683,1549616.72,34706.03700000001
58,1514974.398,1547635.83,32661.43200000003
59,1515147.94,1536830.957,21683.016999999993
60,1515148.586,1536807.872,21659.28600000008
61,1517499.376,1537239.818,19740.44200000004
62,1515406.069,1539745.4,24339.331000000006
63,1515405.533,1539313.618,23908.084999999963
64,1515434.268,1542706.829,27272.560999999987
65,1517320.661,1540263.788,22943.126999999862
66,1515573.39,1542683.386,27109.996000000043
67,1515664.351,1540004.652,24340.300999999978
68,1515683.236,1547089.409,31406.17299999995
69,1516019.767,1539140.787,23121.02000000002
70,1516012.707,1536807.878,20795.17100000009
71,1516104.706,1545275.006,29170.300000000047
72,1516117.824,1537782.653,21664.82899999991
73,1516179.071,1548472.204,32293.132999999914
74,1539624.173,1540263.792,639.6189999999478
75,1516181.562,1536807.882,20626.320000000065
76,1516199.463,1548768.371,32568.908000000054
77,1516199.618,1536980.679,20781.060999999987
78,1516265.673,1548768.262,32502.589000000153
79,1516269.8,1539601.718,23331.918000000063
80,1541695.167,1541695.179,0.012000000104308128
81,1516374.123,1539400.043,23025.92000000016
82,1516377.2,1538103.862,21726.66200000001
83,1523615.53,1543633.42,20017.889999999898
84,1539597.7,1539831.806,234.1060000001453
85,1516704.267,1548320.303,31616.03600000008
86,1516727.103,1544186.029,27458.92600000021
87,1516783.859,1547089.417,30305.55799999996
88,1516795.028,1549076.621,32281.59300000011
89,1516809.871,1537844.613,21034.741999999853
90,1543594.558,1543893.088,298.53000000002794
91,1516877.1,1536376.671,19499.570999999996
92,1516894.509,1551495.756,34601.246999999974
93,1516898.251,1549987.389,33089.138000000035
94,1516960.189,1539658.995,22698.8060000001
95,1517221.227,1539313.626,22092.398999999976
